I buy the books for my wife and she is enjoying them in her retirement along with all the other products we purchased from Amazon	2
Since it was free, I decided to read "Pride and Prejudice" again. I was hoping I would like it more than I did when I was in college. I know you are all going to hate me, and never look at another one of my reviews, but honestly it is one of the few titles that I actually believe I liked the movie better. There, I said it. Maybe it is because modern screenwriters are able to present their attraction to each other better than Jane Austen could in 1800's. The movie is one of my favorites. I still get chills when Mr. Darcy tells Elizabeth she has bewitched him. If you haven't read it, you simply must, just so you can always say you read the book that started it all--romance novels that is. Anyway, there you are. That's my review, and I'm sticking to it.	3
Sorry, I don't want to step on any toes, but I found Pride & Prejudice to be slow and plodding. In fact, I finished it only for the sake of doing so. Since it was written by a woman and is told primarily from a woman's perspective, given its considerable popularity I can only assume that it is enjoyed more by women than by men. If it wasn't a classic I might even have given it two stars (and I enjoy many of the classics very much).	3
Why is this still being published? How does anyone finish this stuff? The women are pathetic, their lives meaningless; the men are shallow; thank goodness I don't have to live in such a self centred universe. I'd rather shoot them all in the first five pages, and let characters who are trying to contribute to others' lives get more oxygen. Talk about suffering for Austen's art - she did, so we have to too? Give me strength!!	1
i have not yet read the book(too buzy rereading harry potter fo the third time) but i might eventually(5 starz rating just becuz)my questin is why buy it when the book it for free right above this title???(on the kidle touch sstre anyways; its the project gutenberg version	5
This book was in amazing condition. I bought it Like New and it looked like it hadn't been handled at all, something I could have purchased at the store. The package was delivered way before expectancy, as well.	5
Was writing a review of Austen's novel Emma on Amazon. Got through seven or eight substantial paragraphs, and a fully committed point of view. After everything I wrote, Amazon told me ( only after I wrote the review) that, for technical reasons, they wouldn't be publishing my comment. I wasn't even able to save it since, but it was a good review. Hope they'll be publishing this one after this item, submitting my complaint...	4
Pride and Prejudice deserves a 5 star rating, but this Kindle edition is sloppy, and "free" is not an excuse. Those familiar with Jane Austen, and P&P in particular, need only search for "call her mother a wit" to see what I mean.	2
This novel is about the story of five daughters with an elderly father and an opportunistic Mrs. Bennet, their daughters will never pronounce the word mother.Mr. Bennet having five unmarried daughters is preoccupied because, according to the law a daughter (if not married) cannot inherit the estate where they actually lives.Another aspects of this novel is the centrality of the letters and their messages fundamentals for the develop of the story.The most important letter is those written by Mr. Darcy to Elizabeth nor for his amorous declaration but for explain to Elizabeth why he has refused Jane and the Mr. Wickham's heredity.In my opinion the pride and prejudice of this novel revolves around the main characters, in particular when Elizabeth is conscious and recognise her prejudice in the confront of Mr. Darcy, the pride is to have discovered a true and unconditional love.The main characters are Elizabeth Bennet and Mr. Darcy, the most hated is Mr.Collins.Elizabeth is intelligent romantic generous determined sensible and rude girl, in brief she is the antithesis of a homophobic world.In my opinion Mr. Collins an handsome guy but he is a person full of hate and his aim is engage on his suffering the people around him.The opposite is Mr. Darcy, his external appearance is rude and provocative, but his soul is noble romantic and altruistic and surprisingly he is against the classism of the British society, the souls of Mr.Darcy and Mr. Darcy are very similar.CheersItalo	5
I picked this book up from my daughter's bookshelf and thought it might be fun to read such a classic. I have to say I am disappointed. About halfway through, I grew so thoroughly bored, I had to put the book down for a few days. It is just a predictable romance novel, nothing especially wonderful or exciting. There is so much conversations and it can get really confusing sometimes.	2
I think I got about a quarter of the way through it and hoped it would get better. The story is hard to follow, too detailed about mundane things. The story line is so slow I just gave up. I enjoy historical romances and I figured a classic, right? Should be good. Nope, it was a waste of my time.	1
What more can be said about one of the greatest works in the English language? A life lived without reading this book must be deemed a complete failure on all counts.	5
This is the first classic that I have ever read! I think that it was a great first choice to start reading these sort of novels.Recommended! :)	4
Good story but quite difficult to read. The dialect seems archaic and hard to follow many times. If one can interpret the dialect, the story is charming.	4
Excellent 100% fulfilled in time, form and quality. Congratulations, and hopefully always remain so and so retain the confidence that you deposited your customers	4
I own both Insight Editions of "Pride & Prejudice" and "Sense & Sensibility" and I only wish they had continued this series to include all of Jane Austen's major novels - Northanger Abbey, Mansfield Park, and Persuasion. The notes in the margins provide historical context, insights into Jane Austen's own life, and chatty asides from the editor that make you feel like you're reading the book along with an intelligent friend or book club. It is a fun introduction to Jane Austen's books for those new to Austen, and it's just another way to enjoy this classic book and really feel a connection to and a part of the kinds of conversations of "Janeites" JASNA meetings and book groups. It is an accessible edition of the book - less academic than the Norton Critical Edition, without compromising the experience of just reading Austen's books for fun.	5
I have always been a romantic. I`m that sucker who is always looking for a great romance novel or movie to captivate me and make me fall into the wonders of love overcoming all obstacles. So, yes, you could say I have seen and read my fair share of love stories, but this is the best.I first read this book when I was 12 after hearing incessesantly about how it was such a classic and a must-read (and of course I heard it was a romance, so that little fact right there solidified any scruples that I may have had at the time). I was mesmerized.Yes, of course it was rather difficult to understand the language at first and I did expect that. Instantly, though, I read it a second time and I locked in with Austen`s flow of words and the sensations that I went through while reading her novel were incredible.Elizebeth Bennet is such a fantastic and relatable character and I believe any woman can relate to her. She`s dignified and witty, but at the same time she`s shy and believable. She`s never ridiculous or over the top. Mr. Darcy....where do I begin? The changes in him and Elizabeth are just incredible and no matter how many times I read this book I can`t help but fall in love with them all over again. Mrs. Bennet is truly ridiculous, but she means well. Mr. Bennet is a man who always settles and never really has determination to go ahead. He keeps to himself, sometimes it seems like he even avoids the truth of things unless it becomes dreadfully grave. Nonetheless, a great character. Mr. Collins; What a man! He will keep you laughing at how absolutely ridiculous he is. And Elizabeth`s younger sisters are truly precious. Jane and Bingley are sweet and endearing. Miss Bingley is the perfect &#34;mean girl&#34;. Mr. Wickham is delightfully decieving and really supports the phrase, &#34;Looks are decieving.&#34; And lastly, the Gardiners are easily my favorite characters after Elizabeth and Darcy.The whole plot is wonderfully paced, and I will confess that first time reading it that it may seem slow and boring. But, when you really take the time to delve into Jane Austen`s world and understand the truths that she expresses with such precision that still resonate in todays society, you really become intranced. You really feel like you know the characters and maybe even recognize the truth in them and recognize people you know. Austen was insightful and really understood people and characters and the morals of her time. She was brillant and I really wonder what it would be like to have met her if she was alive today. Pride ad Prejudice is my favorite novel and I really hope this review has done is justice. This is the best of the best and it will forever remain my favorite novel.Thank you Jane Austen for sharing with the world your characters and your truths.	5
love this classic!!! only, what's with the incomplete names/titles? eg: ----shire ? I've read my grans' copy of this and it did not have those....	4
I am not sure why everyone is so negative about this timeless classic. Yes there are no big car chase scenes, no unusually attractive female that makes everyone go "gaga", or large scale destruction. If you can get away from this and look at the story with a open mind and conscience, you will get a story that is moving and just right for just about anyone. I loved it and I think that it never gets old. Slow is the way and steady is the hand that created this masterpiece.	5
a true classic. i have always wanted to read this book, and i was not disappointed.Although set in the 1800s it continues to teach life lessons and I highly recommend it.	5
